CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;IBAYO TIPAS;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
CAPITAN CIANO;COL ESTACIO-J RAMOS SR;RR;300.00;
J RAMOS ST;CAPT CIANO-DEAD END;RR;350.00;
DR NATIVIDAD ST;BRIDGE-NAPINDAN;RR;500.00;
F DINGUINBAYAN ST;DR NATIVIDAD-BAMBANG;RR;300.00;
BAMBANG CALLEJON;DINGUINBAYAN-CIANO;RR;300.00;
DAAN PAA;SITIO DAANG PAA;RR;300.00;
MABATO CREEK ROAD;DR NATIVIDAD-DEAD END;RR;300.00;
ULILANG KAWAYAN MUNS;DAANG PAA-MAEST PINANG;RR;300.00;
J D L CPD;ELISCO ROAD & BACK;RR;500.00;
ELISCO;DR NATIVIDAD;RR;500.00;
DAANG MANUNUSO;ELISCO ROAD-DEAD END;RR;400.00;
SUCOL CREEK;ELISCO RD-PASIG RIVER;RR;300.00;
NAGKAWIT;ELISCO RD-DAANG PAA;RR;300.00;
KATUWIRAN;MABATO-NAPINDAN;RR;300.00;
ELISCO  RD;NATIVIDAD-SAN JOAQUIN;I;700.00;
DR A NATIVIDAD;CAPT CIANO-LABAO;I;700.00;
NAGKAWIT SITIO;ELISCO RD-DAANG PAA;I;700.00;
SUCAL CREEK;ELISCO RD-PASIG RIVER;I;700.00;
DAANG MANUNUSO;ELISCO ROAD-DEAD END;RR;700.00;
P ZAMORA;CAPT CIANO-IBAYO;RR;300.00;
AGRICULTURAL LAND;PALINGA-DAANG PAA RVR;A;100.00;
CAPISTRANO ST;DAANG PAA IRRIGATION;RR;300.00;
CAPT CIANO;NATIVIDAD DINGUIN BAY;APD;0.00;AREA FOR PRIORITY DEVELOPMENT
ALL OTHER STREETS;;GP;100.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;LIGID TIPAS;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
J LUNA;GEN NATIVIDAD-BACK;RR;500.00;
L LABAO ST;;RR;500.00;
E ORDONEZ ST;NOLI ME TANGERE;RR;500.00;
I UMALI ST;IBABA;RR;350.00;
C RAMOS ST;UMBAY;RR;350.00;
SCHOOL ROAD;O MARIANO ST;RR;300.00;
MAESTRANG PINAG;KABAONG;RR;350.00;
PANDAY LIGID;M PINANG-STA ANA;RR;250.00;
SAPANG VIEJO;OLD CREEK;RR;250.00;
CAPT M TANYAG;E JACINTO;RR;300.00;
AGRICULTURAL LAND;;A;100.00;
MABATO CREEK TIPAS;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT
ALL OTHER STREETS;;GP;300.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;LOWER BICUTAN;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
MANUEL L QUEZON ST;HAGONOY-BAGUMBAYAN;RR;500.00;
SAMPAGUITA ST;L BICUTAN-SIGNAL VILL;RR;500.00;
V CRUZ ST;QUEZON-CENTRAL BICUTAN;RR;450.00;
SAMPALOC ST;QUEZON-CENTRAL BICUTAN;RR;450.00;
GEN SANTOS AVE;QUEZON-SS HIGHWAY;RR;600.00;
AGRICULTURAL LAND;;A;300.00;
ALL OTHER STREETS;;GP;400.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;MAHARLIKA VILLAGE;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
ALL STREETS;(GOVERNMENT RESERVATION);RR;600.00;
CITY/MUNICIPALITY:;TAGUIG;;;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;NAPINDAN;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
L LABAO ST;NATIVIDAD-RICEFIELD;RR;300.00;
F BALAGTAS;LABAO-NAPINDAN RIVER;RR;300.00;
PLUCAS ST;LABAO-RICEFIELD;RR;200.00;
CAPISTRANO CALLEJON;LABAO-RICEFIELD;RR;200.00;
C C ROAD;LABAO-C & C CO;I;350.00;
SUCAL;ELISCO RD-PASIG RIVER;I;350.00;
AGRICULTURAL LAND;;A;300.00;
IBAYO NAPINDAN;;RR;200.00;
ALL OTHER STREETS;;GP;300.00;
AGRICULTURAL LAND;ALONG LAGUNA DE BAY;A;50.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;PALINGON TIPAS;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
GEN A NATIVIDAD;P BURGOS ST;RR;500.00;
TARTARIA PROPER;CAPT CIANO-RICEFIELD;RR;300.00;
COL M ESTACIO ST;IBAYO PALINGON;RR;300.00;
BARANGAY ROAD;ESTACIO-NIA DITCH;RR;300.00;
BANTAYAN RD;GEN A NATIVIDAD;RR;300.00;
NATIVIDAD CPD;BANTAYAN-RICEFIELD;RR;300.00;
SAN PEDRO CPD;NATIVIDAD-RICEFIELD;RR;300.00;
LICOD PALINGON;INT OR GEN NATIVIDAD;RR;300.00;
PANDAY PALINGON;;RR;300.00;
SCH RD O MARIANO;SCHOOL-IBABA(LIGID);RR;300.00;
AGRICULTURAL LAND;;A;200.00;
WITHIN TIPAS RIVER;PANDAY;APD;0.00;AREA FOR PRIORITY DEVELOPMENT
ALL OTHER STREETS;;GP;300.00;
AGRICULTURAL LAND;ALONG LAGUNA DE BAY;A;50.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;SIGNAL VILLAGE;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
ALL STREETS;(GOVERNMENT PROPERTY);RR;300.00;
ALL STREETS;(GOVERNMENT PROPERTY);;;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;SANTA ANA;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
J P RIZAL ST;BAMBANG BR-USUSAN;RR;500.00;
F MANALO ST;JP RIZAL-MANALO;RR;500.00;
A BONIFACIO ST;RIZAL-PINAGSALUBUNGAN;RR;450.00;
LIWAYWAY ST;RIZAL-DM CRUZ;RR;450.00;
PINAGSALUBUNGAN ST;MANALO-DM CRUZ;RR;500.00;
PRUDENCE ROAD;RIZAL-STA ANA RIVER;RR;500.00;
DOMINGO MATAS CRUZ;MANALO-LIWAYWAY;RR;300.00;
PULONG KENDI;RIZAL-ANNIE;RR;300.00;
BRGY ROAD;PULONG KENDI-RICEFIELD;RR;300.00;
IBAYO SANTA ANA;RIVERSIDE (NO ROAD);RR;300.00;
ANIE;PULONG KENDI-RICEFIELD;RR;250.00;
DOMINGO M CRUZ EXT;DM CRUZ-MANALO;RR;400.00;
TAGUIG RIVER LUNA;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;TUKTUKAN;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
GEN ANTONIO ST;RIZAL-LUNA-USUSAN;RR;600.00;
A MABINI ST;BRIDGE-VERZOSA;RR;500.00;
VERZOSA ST;GEN LUNA-MABINI;RR;600.00;
J P RIZAL ST;BAMBANG BR-PATEROS ALMEDA;RR;400.00;
T D VILLAGE;ONE ROAD (LOOP);RR;600.00;
GEN ANTONIO LUNA ST;;CR;650.00;
AGRICULTURAL LAND;;A;300.00;
TAGUIG PATEROS;BAMBANG BR-PATEROS ALMEDA;RR;400.00;
ALL OTHER STREETS;;GP;300.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;UPPER BICUTAN;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
GEN SANTOS AVE;M QUEZON-SS HIGHWAY;RR;600.00;
AGRICULTURAL LAND;LOWER BICUTAN;A;300.00;
ALL OTHER STREETS;;GP;300.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;USUSAN;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
GEN ANTONIO LUNA ST;GEN LUNA-PATEROS;RR;600.00;
M H DEL PILAR ST;N CRUZ;RR;400.00;
PADRE GOMEZ;P MARIANO;RR;400.00;
KALAYAAN;EL FILIBUSTERISMO;RR;400.00;
TOMASA ESTATE SUBD;GEN LUNA;RR;600.00;
TAGUIG PATEROS RD;JP RIZAL CALZADANG;RR;400.00;
BANAL ST;DEL PILAR-DEAD END;RR;350.00;
SAN IGNACIO ST;DEL PILAR-DEAD END;RR;350.00;
IBAYO USUSAN;;RR;350.00;
GEN ANTONIO LUNA ST;RIZAL-USUSAN;RR;700.00;
GARDEN OF MEMORIES;TAPAT PARK;CR;1,500.00;
AGRICULTURAL LAND;;A;300.00;
DR J P RIZAL ST;BAMBANG BR-PATEROS ALMEDA;RR;400.00;
ALL OTHER STREETS;;GP;300.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;WAWA;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
MANUEL L QUEZON ST.;BAMBANG-HAGONOY;RR;500.00;
TAMBAK;WAWA-HAGONOY;RR;500.00;
JONES ST;QUEZON-PUWANG;RR;400.00;
GUERRERO ST;QUEZON-JONES;RR;400.00;
PUWANG ST;JONES-RICEFIELD;RR;300.00;
T D VILLAGE;VERZOSA ST;RR;500.00;
BAY BREEZE SUBD;M QUEZON;RR;650.00;
AGRICULTURAL LAND;;A;300.00;
BAY BREEZE TOWNHSE;;RC;8,000.00;
TAGUIG RIVER MLG;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT
ALL OTHER STREETS;;GP;300.00;
AGRICULTURAL LAND;ALONG LAGUNA DE BAY;A;50.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;WESTERN BICUTAN;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
EAST SERVICE ROAD;FT BONIFACIO-JOSEPH SIIT;I;800.00;
VETERAN CENTER;EAST SERVICE ROAD;I;800.00;
FOOD TERMINAL INC;EAST SERVICE ROAD;I;800.00;
TENEMENT CONDO AREA;;RR;800.00;
AGRICULTURAL LAND;;A;300.00;
TENEMENT CONDOMINIUM;EAST SERVICE ROAD;RC;8,000.00;
ALL OTHER STREETS;;GP;300.00;
CITY/MUNICIPALITY:;TAGUIG;;;
CONDOMINIUMS AND TOWNHOUSES;;;;
BAY BREEZE TOWNHSE;WAWA;RC;8,000.00;
BAYWATCH HOMES;BABUMGAYAN;RC;8,000.00;
TENEMENT CONDO;WEST BICUTAN;RC;8,000.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;AGUHO;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
E QUIOGUE;DE BORJA-AGUHO;RR;300.00;
G DE BORJA;ALMEDA-SULIT;RR;500.00;
P HERERRA;MORCILLA-DE BORJA;RR;500.00;
T SULIT;MANALO-AGUHO BDRY;RR;400.00;
E QUIOGUE END;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;MAGTANGGOL;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
D SALONGA;FC CRUZ - S CASTILLO;RR;300.00;
F C CRUZ;ALMEDA - SALONGA;RR;400.00;
M ALMEDA;CASTILLO - TULAY NA BATO;RR;300.00;
S CASTILLO;ALMEDA - SALONGA;RR;300.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;MARTIRES DEL 96;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
G MANALO;SULIT-ALMEDA;RR;300.00;
M ALMEDA;MARTIRES 96 - TAG/PAT BDRY;RR;600.00;
MARTIRES DEL 96;ALMEDA-MANALO;RR;400.00;
T SULIT;;RR;400.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;POBLACION;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
A MABINI;MORCILLA-ALMEDA;RR;400.00;
B MORCILLA;ALMEDA-HERRERA;CR;700.00;
C ALMEDA;ALMEDA-HERRERA;RR;500.00;
G FLORES;MORCILLA-ALMEDA;RR;500.00;
JP RIZAL;MORCILLA-ALMEDA;RR;400.00;
LT F CRUZ;MABINI-ALMEDA;RR;400.00;
P HERRERA;ALMEDA-MORCILLA;RR;500.00;
P TANGOCO;MORCILLA-ALMEDA;RR;400.00;
S TUAZON;ENTIRE CASTILLO AREA;RR;400.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;SAN PEDRO;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
C ALMEDA;IMSON-HERRERA;RR;500.00;
P IMSON;ALMEDA-CASTILLO;RR;400.00;
P HERRERA;ALMEDA-CASTILLO;RR;500.00;
S CASTILLO;IMSON-HERRERA;RR;300.00;
CITY/MUNICIPALITY:;PATEROS;;;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;SAN ROQUE;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
E HERMOSA ST;ALMEDA-GREM VILL;RR;400.00;
GREM VILLAGE;ENTIRE SUBD;RR;400.00;
M ALMEDA ST;CASTILLO-ALMEDA;RR;600.00;
M ALMEDA ST;ALMEDA-MARTIRES DEL 96;CR;700.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;SANTA ANA;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
AGRICULTURAL LAND;ENTIRE RICEFIELD;A;100.00;
B MORCILLA EXT;BRIDGE-P ROSALES;RR;500.00;
CAPT MUSNI;ROSALES -PAT/TAG BDRY;RR;300.00;
GREEN VILLAGE;;RR;300.00;
J DE JESUS;HERMOSA-ROSALES;RR;300.00;
MASAGANA;P ROSALES-END;RR;300.00;
P ROSALES;END-END (CAPT MUSNI);RR;400.00;
POBLETE SUBD;ENTIRE AREA;RR;300.00;
S P SANTOS SUBD;ENTIRE AREA;RR;300.00;
S T SANTOS;P. ROSALES-END;RR;300.00;
SANTA ANA BUKID;ENTIRE RES AREA;RR;300.00;
TIBAY SUBD;ENTIRE AREA;RR;400.00;
ALONG SANTA ANA RIVER;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT
ALL OTHER STREETS;;GP;300.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;SANTO ROSARIO KANLURAN;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
AGRICULTURAL LAND;ENTIRE AREA;A;100.00;
C LORENZO;FLORES-PAS/PAT BDRY;RR;300.00;
F C TUASON;;RR;400.00;
M LOZADA;ROSARIO-FLORES;RR;400.00;
M R  FLORESCO;LOZADA-LORENZO;RR;400.00;
SANTANA SUBD.;ENTIRE AREA;RR;400.00;
SANTO ROSARIO RIVER;;APD;0.00;AREA FOR PRIORITY DEVELOPMENT
SANTA LUCIA (EMERALD SUBD);ENTIRE AREA;RR;350.00;
ALL OTHER STREETS;;RR;300.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;SANTO ROSARIO SILANGAN;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
AGRICULTURAL LAND;ENTIRE AREA;A;100.00;
M ALMEDA;TULAY BATO-PAS/PAT BDRY;RR;600.00;
M LOZADA;ALMEDA-KANL/SILANG BDRY;RR;400.00;
SANTO ROSARIO SUBD;ENTIRE AREA;RR;400.00;
TATCO SUBD;;RR;400.00;
TIBAY SUBD;PART OF BRGY STA ANA;RR;400.00;
ALL OTHER STREETS;;GP;400.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;TABACALERA;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
D SALONGA;BET CASTILLO & CRUZ;RR;300.00;
F C CRUZ;COR ALMEDA & ALQUILLERA;RR;400.00;
F C TUAZON;BET INT OF SULUCAN;RR;400.00;
L T TIAMSIC;INTERIOR OF SULUCAN;RR;300.00;
S ALQUILLERA;BET CRUZ & SEXON;RR;400.00;
S CASTILLO;BET IMSON & HERRERA;RR;300.00;
SEXON ST;CASTILLO & ALQUILLERA;RR;400.00;
SULUCAN;STO ROSARIO BRIDGE - CRUZ;RR;300.00;
